case_id,category,question,http_status,question_type,expected_route,route_ok,expected_topics,topic_hits,expected_reference_keywords,reference_hits,score,raw_verdict,final_verdict,issue_type,answer_preview,evidence_preview,manual_notes
GQ0001,gotquestions_topic,한번 받은 구원은 영원한가?,200,topic_search,topic_search|explanation,Y,구원|믿음|은혜,구원|믿음|은혜,요한복음 3|로마서 10|에베소서 2,요한복음 3,4,PASS,PASS,정상,"1. 핵심 답변 한번 받은 구원은 영원한 것으로 이해할 수 있습니다. 요한복음 3장 16절에서는 하나님이 독생자를 주신 이유가 믿는 자마다 영생을 얻게 하려는 것이라고 말씀하고 있습니다. 또한, 베드로전서 1장 9절에서는 믿음의 결국이 영혼의 구원이라고 강조하고 있습니다. 이러한 구절들은 구원이 단순한 순간의 사건이 아니라, 지속적이고 영원한 관계로 이어진다는 것을 보여줍니다. 따라서, 구원은 하나님과의 영원한 관계 속에서 이루어지는 것이라고 할 수 있습니다. 2. 관련 구절 설명 - 요한복음 3장 16절: 이 구절은 하나님이 세상을 사랑하셔서 독생자를 주신 이유를 명확히 설명합니다. 믿는 자는 멸망하지 않고 영생을 얻는다는 약속은 구원의 영원성을 강조합니다. 이는 하나님과의 관계가 단절되지 않고 지속된다는 것을 의미합니다. - 베드로전서 1장 9절: 이 구절은 믿음의 시련을 통해 영혼의 구원을 받는다고 말합니다. 믿음이란 단순히 한 번의 결단이 아니라, 지속적인 신뢰와 관계를 통해","[하이브리드 주제검색 결과] 인식 주제: ['구원', '믿음', '성령'] 검색 키워드: ['구원', '영생', '멸망', '구속', '복음', '생명', '죄에서', '믿음', '믿는', '신뢰', '의심', '확신', '바라는 것', '보지 못하는 것', '성령', '보혜사', '영', '하나님의 영', '성령님'] LLM 검색 질의: ['한번 받은 구원은 영원한가?', '구원의 영원성', '구원은 잃을 수 있는가?', '영원한 생명에 대한 성경의 가르침', '구원과 믿음의 관계', '하나님의 은혜와 구원'] 실제 벡터검색 질의: ['한번 받은 구원은 영원한가? 영생 구원 복음 멸망치 않고 생명 믿음은 바라는 것들의 실상 믿음으로 의심하지 말라 주를 신뢰 보혜사 성령 성령이 임하심 성령의 인도 성령의 열매', '한번 받은 구원은 영원한가?', '구원의 영원성', '구원은 잃을 수 있는가?', '영원한 생명에 대한 성경의 가르침', '구원과 믿음의 관계', '하나님의 은혜와 구원'",
GQ0002,gotquestions_topic,구원의 영원한 보증은 성경적인가?,200,topic_search,topic_search|explanation,Y,구원|믿음|은혜,구원|믿음,요한복음 3|로마서 10|에베소서 2,,2,CHECK,CHECK,부분 성공: 근거 보강 또는 라벨 점검,"1. 핵심 답변 구원의 영원한 보증은 성경적으로 뒷받침되는 개념입니다. 에베소서 1장 13절과 14절은 믿는 자들이 약속의 성령으로 인치심을 받았고, 이는 우리의 기업에 대한 보증이 된다고 명시합니다. 또한, 디도서 1장 2절에서는 하나님이 영원한 생명을 약속하셨다고 하여, 구원의 확신이 하나님께서 주신 약속에 근거함을 보여줍니다. 이러한 말씀들은 믿는 자들이 구원받았음을 확신할 수 있는 근거를 제공합니다. 2. 관련 구절 설명 - 에베소서 1장 13절: 이 구절은 믿는 자들이 구원의 복음을 듣고 믿음으로 성령으로 인치심을 받았다고 말합니다. 성령의 인치는 구원의 확실성을 제공하며, 이는 하나님께서 우리를 소유하셨음을 나타냅니다. - 디도서 1장 2절: 이 구절은 하나님이 영원한 생명을 약속하셨음을 강조합니다. 하나님은 거짓이 없으신 분이시기에, 그 약속은 변하지 않으며, 믿는 자들은 이 약속을 통해 영생을 확신할 수 있습니다. 3. 본문 설명 제공된 성경 구절들은 구원의 영원한 보","[하이브리드 주제검색 결과] 인식 주제: ['구원', '믿음', '소망', '말씀', '성령'] 검색 키워드: ['구원', '영생', '멸망', '구속', '복음', '생명', '죄에서', '믿음', '믿는', '신뢰', '의심', '확신', '바라는 것', '보지 못하는 것', '소망', '기대', '기다림', '영광', '약속', '장래', '희망', '말씀', '율법', '계명', '성경', '가르침', '교훈', '성령', '보혜사', '영', '하나님의 영', '성령님'] LLM 검색 질의: ['구원의 영원한 보증은 성경적인가?', '구원의 보증', '영원한 구원', '믿음의 확신', '하나님의 약속', '구원과 믿음'] 실제 벡터검색 질의: ['구원의 영원한 보증은 성경적인가? 영생 구원 복음 멸망치 않고 생명 믿음은 바라는 것들의 실상 믿음으로 의심하지 말라 주를 신뢰 소망 하나님의 약속 장래 소망 기다림 영광 주의 말씀 율법 계명 말씀을 묵상 보혜사 성령 성령이 임하심",
GQ0003,gotquestions_unmapped,죽은 뒤에는 무슨 일이 일어나는가?,200,topic_search,topic_search|explanation,Y,,,,,,,REVIEW_UNLABELED,정답 라벨 없음: 수동검토/라벨링 필요,"1. 핵심 답변 죽음 이후의 일에 대한 성경의 명확한 설명은 부족하지만, 인간의 삶과 죽음은 하나님의 계획 안에 있음을 알 수 있습니다. 전도서 3장에서는 사람의 수고와 즐거움이 하나님의 선물이라고 언급하며, 이는 삶의 의미를 찾는 데 중요한 요소입니다. 또한, 출애굽기 31장에서는 안식일을 지키는 것이 하나님과의 관계를 나타내며, 생명과 죽음에 대한 경각심을 일깨워 줍니다. 이러한 구절들은 죽음 이후의 상태보다는 현재의 삶을 어떻게 살아야 하는지를 강조합니다. 2. 관련 구절 설명 - 전도서 3장 13절은 사람의 삶에서 먹고 마시고 즐기는 것이 하나님의 선물이라는 점을 강조합니다. 이는 우리가 현재의 삶을 소중히 여기고, 하나님께서 주신 기쁨을 누리는 것이 중요하다는 메시지를 전달합니다. - 출애굽기 31장 14절은 안식일을 지키는 것이 하나님과의 관계를 나타내며, 이를 통해 생명과 죽음의 경중을 깨닫게 합니다. 이는 하나님이 우리에게 주신 규례를 따름으로써 우리의 삶이 어떻게 변","[하이브리드 주제검색 결과] 인식 주제: ['죽음', '소망', '직장', '말씀'] 검색 키워드: ['죽음', '죽다', '장례', '부활', '생명', '영생', '소망', '기대', '기다림', '영광', '약속', '장래', '희망', '직장', '일', '수고', '노동', '섬기', '충성', '게으름', '말씀', '율법', '계명', '성경', '가르침', '교훈'] LLM 검색 질의: ['죽은 뒤의 삶에 대한 성경의 가르침', '죽음 이후의 삶', '부활에 대한 성경', '영원한 생명', '하나님과의 관계', '천국과 지옥', '죽은 뒤에는 무슨 일이 일어나는가?'] 실제 벡터검색 질의: ['죽은 뒤의 삶에 대한 성경의 가르침 부활과 생명 영생 죽음 소망 하나님의 약속 장래 소망 기다림 영광 무슨 일을 하든지 주께 하듯 충성 수고 주의 말씀 율법 계명 말씀을 묵상', '죽은 뒤의 삶에 대한 성경의 가르침', '죽음 이후의 삶', '부활에 대한 성경', '영원한 생명'",
GQ0004,gotquestions_unmapped,자살에 관한 기독교의 관점은 무엇인가?,200,guardrail,topic_search|explanation,N,,,,,,,REVIEW_UNLABELED,정답 라벨 없음: 수동검토/라벨링 필요,"지금 질문은 매우 무겁고 중요한 문제입니다. 혼자 감당하려고 하지 않았으면 합니다. 성경공부 차원의 답변만으로 해결하려 하기보다, 지금 당장 믿을 수 있는 사람에게 연락하거나 가까운 가족, 친구, 목회자, 상담 전문가, 응급기관의 도움을 받는 것이 필요합니다. 당장 위험하다고 느껴진다면 즉시 주변 사람에게 알리거나 가까운 응급 도움을 요청하세요. 성경적으로는 하나님께서 상한 마음을 외면하지 않으신다는 방향의 말씀을 함께 살펴볼 수 있지만, 지금은 안전이 먼저입니다.",,
GQ0005,gotquestions_topic,삼위일체에 관하여 성경은 어떻게 가르치는가?,200,topic_search,topic_search|explanation,Y,삼위일체|하나님|예수|성령,삼위일체|하나님|예수|성령,마태복음 28|요한복음 1|고린도후서 13,요한복음 1,4,PASS,PASS,정상,"1. 핵심 답변 삼위일체는 하나님이 아버지, 아들, 성령으로 세 분이지만 본질적으로 하나라는 기독교의 핵심 교리입니다. 요한복음 14장 16절에서 예수님은 아버지께 구하셔서 또 다른 보혜사인 성령을 보내주신다고 말씀하십니다. 이는 아버지와 아들, 그리고 성령이 함께 일하는 관계를 보여줍니다. 이처럼 삼위일체는 서로 다른 역할을 가지지만, 하나의 신성을 공유하고 있다는 것을 강조합니다. 이러한 이해는 기독교 신앙의 기초가 되며, 하나님과의 관계를 깊이 있게 이해하는 데 도움을 줍니다. 2. 관련 구절 설명 - 요한복음 14장 16절: 이 구절은 예수님이 아버지께 성령을 보내달라고 기도하시는 장면으로, 아버지와 아들, 성령의 관계를 드러냅니다. 성령은 믿는 자들과 함께 하며, 그들을 인도하고 진리를 깨닫게 하는 역할을 합니다. 이는 삼위일체의 상호작용을 보여주는 중요한 구절입니다. - 역대상 29장 11절: 이 구절에서 다윗은 하나님께 영광을 돌리며, 모든 것이 하나님께 속한다고 고백합","[하이브리드 주제검색 결과] 인식 주제: ['삼위일체', '하나님', '예수', '성령', '말씀', '직장'] 검색 키워드: ['삼위일체', '성부', '성자', '성령', '한 하나님', '세 위격', '하나님', '여호와', '주', '아버지', '창조주', '전능', '예수', '그리스도', '메시아', '하나님의 아들', '말씀', '성육신', '보혜사', '영', '하나님의 영', '성령님', '율법', '계명', '성경', '가르침', '교훈', '직장', '일', '수고', '노동', '섬기', '충성', '게으름'] LLM 검색 질의: ['삼위일체에 대한 성경의 가르침', '하나님은 삼위일체이신가?', '성경에서 삼위일체를 어떻게 설명하나?', '삼위일체의 개념은 성경에 어떻게 나타나는가?', '예수님과 성령의 역할은 무엇인가?', '삼위일체의 교리는 성경에서 어떻게 지지되는가?', '삼위일체에 관하여 성경은 어떻게 가르치는가?'] 실제 벡터검색 질의: ['삼위일체에",
GQ0006,gotquestions_unmapped,세례(침례)의 중요성은 무엇인가?,200,explanation,topic_search|explanation,Y,,,,,,,REVIEW_UNLABELED,정답 라벨 없음: 수동검토/라벨링 필요,"1. 핵심 답변 세례(침례)는 신앙의 고백이자, 예수 그리스도와의 연합을 상징하는 중요한 의식입니다. 세례를 받음으로써 우리는 예수님의 죽음과 부활에 참여하게 되며, 새로운 삶을 시작하는 기초가 됩니다. 또한, 세례는 공동체의 일원으로서의 정체성을 부여하고, 하나님과의 관계를 확립하는 중요한 단계입니다. 따라서 세례는 단순한 의식이 아니라, 믿음의 여정에서 필수적인 의미를 지닙니다. 2. 관련 구절 설명 - 로마서 1장 16-17절: 이 구절은 복음이 모든 믿는 자에게 구원을 주는 하나님의 능력임을 강조합니다. 세례는 이 복음을 받아들이고 믿음을 고백하는 행위로, 구원의 시작을 나타냅니다. 믿음으로 의롭게 되는 과정에서 세례는 중요한 역할을 합니다. - 에베소서 1장 13-14절: 이 구절은 우리가 복음을 듣고 믿을 때 약속의 성령으로 인치심을 받는다고 말합니다. 세례는 이러한 믿음의 고백을 외적으로 드러내는 방법으로, 성령의 인치심을 통해 하나님의 자녀로서의 정체성을 확립합니다. ","[하이브리드 주제검색 결과] 인식 주제: ['구원', '순종', '믿음'] 검색 키워드: ['구원', '영생', '멸망', '구속', '복음', '생명', '죄에서', '순종', '지키', '계명', '듣고', '행하라', '말씀대로', '복종', '믿음', '믿는', '신뢰', '의심', '확신', '바라는 것', '보지 못하는 것'] LLM 검색 질의: ['세례의 중요성', '세례의 의미', '세례의 역할', '세례와 구원', '세례의 성경적 근거', '세례의 필요성', '세례(침례)의 중요성은 무엇인가?'] 실제 벡터검색 질의: ['세례의 중요성 영생 구원 복음 멸망치 않고 생명 말씀을 지키라 계명을 지키라 듣고 행하라 믿음은 바라는 것들의 실상 믿음으로 의심하지 말라 주를 신뢰', '세례의 중요성', '세례의 의미', '세례의 역할', '세례와 구원', '세례의 성경적 근거', '세례의 필요성', '세례(침례)의 중요성은 무엇인가?'] - 로마서 1장 | score=0.650",
GQ0007,gotquestions_unmapped,여성도 목사가 되거나 설교를 할 수 있는가?,200,explanation,topic_search|explanation,Y,,,,,,,REVIEW_UNLABELED,정답 라벨 없음: 수동검토/라벨링 필요,"1. 핵심 답변 여성이 목사가 되거나 설교를 하는 것에 대한 성경의 가르침은 논란이 있는 주제입니다. 고린도전서 14장 34절과 35절에서는 여자가 교회에서 잠잠해야 한다고 명시하고 있습니다. 그러나 성경의 다른 부분에서는 여성이 중요한 역할을 수행한 사례도 많습니다. 예를 들어, 여선지자들인 드보라와 한나가 그 예입니다. 따라서 여성이 목사나 설교자가 될 수 있는지에 대한 질문은 성경의 다양한 구절을 종합적으로 고려해야 할 필요가 있습니다. 2. 관련 구절 설명 - 고린도전서 14장 34-35절: 이 구절은 교회 내에서 여성이 발언하는 것을 금지하는 내용으로, 당시 문화적 배경과 관련이 깊습니다. 이 구절은 여성의 역할에 대한 제한을 강조하는 반면, 당시의 사회적 맥락을 이해하는 것이 중요합니다. - 디모데전서 5장 17-18절: 이 구절에서는 잘 다스리는 장로들을 존경하라고 하며, 말씀과 가르침에 수고하는 이들을 특별히 언급합니다. 이는 교회 내에서의 지도자의 역할을 강조하며, ","[하이브리드 주제검색 결과] 인식 주제: ['교회', '소명', '말씀'] 검색 키워드: ['교회', '공동체', '성도', '직분', '목사', '장로', '집사', '소명', '부르심', '사명', '보내', '택하', '일꾼', '말씀', '율법', '계명', '성경', '가르침', '교훈'] LLM 검색 질의: ['여성의 목사직에 대한 성경적 원칙', '여성의 역할', '목사직에 대한 성경적 기준', '여성의 설교 허용 여부', '교회 내 여성의 사역', '성경에서의 여성 지도력', '여성도 목사가 되거나 설교를 할 수 있는가?'] 실제 벡터검색 질의: ['여성의 목사직에 대한 성경적 원칙 교회는 그리스도의 몸 성도를 세움 질서와 덕 서로 사랑 부르심 사명 보내심 택하심 주의 말씀 율법 계명 말씀을 묵상', '여성의 목사직에 대한 성경적 원칙', '여성의 역할', '목사직에 대한 성경적 기준', '여성의 설교 허용 여부', '교회 내 여성의 사역', '성경에서의 여성 지도력'",
GQ0008,gotquestions_topic,성경은 십일조에 관하여 무엇을 말하는가?,200,topic_search,topic_search|explanation,Y,재물|예배|순종,재물|순종,말라기 3|고린도후서 9|마태복음 6,마태복음 6,4,PASS,PASS,정상,"1. 핵심 답변 성경에서 십일조는 하나님께 드리는 헌신의 표현으로 이해됩니다. 구약에서는 이스라엘 백성이 수확의 10분의 1을 하나님께 드리도록 명령받았으며, 이는 하나님과의 관계를 강화하고 공동체를 지원하는 중요한 역할을 했습니다. 신약에서도 재물에 대한 경각심을 가지며 하나님을 우선시하는 삶이 강조됩니다. 따라서 십일조는 단순한 재정적 의무가 아니라, 하나님께 대한 신뢰와 감사의 표현으로 볼 수 있습니다. 2. 관련 구절 설명 - 마태복음 6장 19-21절: 이 구절은 우리가 어떤 보물을 쌓는지를 고민하게 합니다. 땅에 쌓는 보물은 결국 사라지지만, 하늘에 쌓는 보물은 영원합니다. 이는 우리가 재물에 대한 태도를 어떻게 가져야 하는지를 잘 보여줍니다. - 디모데전서 6장 17-19절: 이 구절은 부한 자들에게 재물에 대한 올바른 태도를 가르칩니다. 정함이 없는 재물에 소망을 두지 말고, 하나님께 의지하며 선한 일을 행하라고 권면합니다. 이는 십일조와 같은 헌신이 결국 참된 생명을","[하이브리드 주제검색 결과] 인식 주제: ['재물', '말씀', '직장'] 검색 키워드: ['재물', '돈', '부자', '가난', '소유', '탐심', '보물', '말씀', '율법', '계명', '성경', '가르침', '교훈', '직장', '일', '수고', '노동', '섬기', '충성', '게으름'] LLM 검색 질의: ['성경의 십일조에 대한 가르침', '십일조의 의미', '십일조에 대한 성경 구절', '십일조의 중요성', '재물과 십일조', '하나님께 드리는 것', '성경은 십일조에 관하여 무엇을 말하는가?'] 실제 벡터검색 질의: ['성경의 십일조에 대한 가르침 보물을 하늘에 쌓으라 탐심을 물리치라 재물과 하나님 주의 말씀 율법 계명 말씀을 묵상 무슨 일을 하든지 주께 하듯 충성 수고', '성경의 십일조에 대한 가르침', '십일조의 의미', '십일조에 대한 성경 구절', '십일조의 중요성', '재물과 십일조', '하나님께 드리는 것', '성경은 십일조에 관하여 무엇을 말하는",
GQ0009,gotquestions_topic,이혼과 재혼에 관하여 성경은 무엇이라고 말하는가?,200,topic_search,topic_search|explanation,Y,결혼|가족|관계,결혼|가족|관계,마태복음 19|고린도전서 7|에베소서 5,마태복음 19|고린도전서 7,4,PASS,PASS,정상,"1. 핵심 답변 성경에서 이혼과 재혼에 대한 명확한 규정은 여러 구절에서 찾아볼 수 있지만, 주로 마태복음 19장과 고린도전서 7장에서 강조됩니다. 이혼은 하나님이 원하지 않는 것으로, 예수님은 이혼의 이유로 간음 외에는 허락하지 않으셨습니다. 재혼에 대해서는 이혼 후 간음 외의 이유로 이혼한 경우에만 허용된다는 해석이 일반적입니다. 그러나 성경은 또한 용서와 회복의 가능성을 강조하며, 하나님께서는 회개하는 자를 기꺼이 받아주시는 분임을 잊지 말아야 합니다. 2. 관련 구절 설명 - 마태복음 19장 9절: ""내가 너희에게 이르노니, 누구든지 음행 외의 이유로 아내를 버리고 다른 여자에게 장가드는 자는 간음함이니라."" 이 구절은 이혼이 간음 외의 이유로는 허락되지 않음을 분명히 하여, 결혼의 신성함과 중요성을 강조합니다. - 고린도전서 7장 10-11절: ""결혼한 자들에게 내가 명하노니, 아내는 남편을 떠나지 말고, 만일 떠나면 혼자 있거나 남편과 화해하라."" 이 구절은 결혼의 지속성","[하이브리드 주제검색 결과] 인식 주제: ['결혼', '가족', '용서', '말씀'] 검색 키워드: ['결혼', '남편', '아내', '부부', '혼인', '배우자', '가족', '부모', '아버지', '어머니', '자녀', '아들', '딸', '가정', '용서', '사함', '죄 사함', '용납', '긍휼', '화해', '회복', '말씀', '율법', '계명', '성경', '가르침', '교훈'] LLM 검색 질의: ['이혼과 재혼에 대한 성경의 가르침', '이혼에 대한 성경의 가르침', '재혼에 대한 성경의 원칙', '결혼의 의미와 중요성', '성경에서의 가족 관계', '용서와 화해에 대한 성경의 가르침', '이혼과 재혼에 관하여 성경은 무엇이라고 말하는가?'] 실제 벡터검색 질의: ['이혼과 재혼에 대한 성경의 가르침 남편과 아내 사랑과 존중 혼인 부모를 공경 자녀 가정 아버지의 사랑 용서하라 죄 사함 서로 용서 긍휼 사하여 주옵소서 화해 주의 말씀 율법 계명 말씀을 묵상', '",
GQ0010,gotquestions_topic,방언의 은사란 무엇인가?,200,topic_search,topic_search|explanation,Y,방언|은사|성령,방언|은사|성령,사도행전 2|고린도전서 12|고린도전서 14|고린도전서 13,고린도전서 12|고린도전서 14,4,PASS,PASS,정상,"1. 핵심 답변 방언의 은사는 성령의 역사로 주어지는 특별한 능력으로, 주로 하나님과의 교제를 위한 기도의 형태로 나타납니다. 고린도전서 14장에서는 방언이 사람에게 이해되지 않는 언어로 하나님께 비밀을 말하는 것이라고 설명하고 있습니다. 그러나 방언은 교회의 덕을 세우기 위해 통역이 필요하며, 예언이 더 큰 유익을 준다고 강조합니다. 따라서 방언의 은사는 개인적인 영적 경험을 넘어서 공동체의 유익을 위해 사용되어야 합니다. 2. 관련 구절 설명 - 고린도전서 14장 2절: 이 구절은 방언이 하나님과의 비밀스러운 대화임을 강조합니다. 방언을 통해 개인은 하나님과 깊은 교제를 나눌 수 있지만, 교회 공동체에서는 이해할 수 있는 언어로 소통하는 것이 더 중요하다는 점을 보여줍니다. - 고린도전서 12장 7절: 이 구절은 성령의 은사가 각 사람에게 주어지는 이유가 공동체의 유익을 위해서임을 나타냅니다. 각 은사는 서로 다른 역할을 하며, 이를 통해 교회가 하나로 연결되고 성장할 수 있습니","[하이브리드 주제검색 결과] 인식 주제: ['은사', '방언'] 검색 키워드: ['은사', '영적 은사', '선물', '성령의 은사', '방언', '통역', '언어', '말하게 하심'] LLM 검색 질의: ['방언의 은사란 무엇인가?', '오순절 방언', '성령의 은사', '방언 통역', '교회의 덕과 질서'] 실제 벡터검색 질의: ['방언의 은사란 무엇인가? 성령의 은사 여러 은사 몸을 세우는 은사 공동체의 유익 방언의 은사 각 언어로 말함 방언 통역 교회에서 방언은 통역이 필요 질서 있게 하라', '방언의 은사란 무엇인가?', '오순절 방언', '성령의 은사', '방언 통역', '교회의 덕과 질서'] - 고린도전서 14장 | score=0.655 | keyword=0 | boost=0.4 1절 사랑을 따라 구하라 신령한 것을 사모하되 특별히 예언을 하려고 하라 2절 방언을 말하는 자는 사람에게 하지 아니하고 하나님께 하나니 이는 알아 듣는 자가 없고 그 영으로 비밀을 말함이니라 ",
