case_id,category,question,http_status,question_type,expected_route,route_ok,expected_topics,topic_hits,expected_reference_keywords,reference_hits,score,verdict,answer_preview,evidence_preview,manual_notes,eval_label_status,final_verdict,issue_type
GQ0001,gotquestions_topic,한번 받은 구원은 영원한가?,200,topic_search,topic_search|explanation,Y,구원|믿음|은혜,구원|믿음|은혜,요한복음 3|로마서 10|에베소서 2,요한복음 3,4,PASS,"1. 핵심 답변 한번 받은 구원은 영원하다고 볼 수 있습니다. 요한복음 3장 16절에서는 하나님이 독생자를 주신 이유가 믿는 자가 영생을 얻게 하려는 것이라고 말씀하고 있습니다. 또한, 베드로전서 1장 9절에서는 믿음의 결국이 영혼의 구원이라고 강조하고 있습니다. 이러한 구절들은 구원이 단순한 순간의 경험이 아니라, 하나님과의 지속적인 관계 속에서 이루어지는 영원한 약속임을 보여줍니다. 따라서, 진정으로 믿음을 가진 자는 구원의 확신을 가질 수 있습니다. 2. 관련 구절 설명 - 요한복음 3장 16절: 이 구절은 하나님이 세상을 사랑하셔서 독생자를 주신 이유를 설명합니다. 믿는 자가 멸망치 않고 영생을 얻는다는 약속은 구원의 본질을 잘 나타내며, 믿음이 구원의 열쇠임을 강조합니다. - 베드로전서 1장 9절: 여기서는 믿음의 결과가 영혼의 구원이라고 명시되어 있습니다. 이는 믿음이 단순한 감정이나 생각이 아니라, 실제로 영원한 구원으로 이어진다는 것을 보여줍니다. 3. 본문 설명 제공","[하이브리드 주제검색 결과] 인식 주제: ['구원', '믿음', '성령'] 검색 키워드: ['구원', '영생', '멸망', '구속', '복음', '생명', '죄에서', '믿음', '믿는', '신뢰', '의심', '확신', '바라는 것', '보지 못하는 것', '성령', '보혜사', '영', '하나님의 영', '성령님'] LLM 검색 질의: ['한번 받은 구원은 영원한가?', '구원의 영원성', '구원은 잃을 수 있는가?', '영원한 생명에 대한 성경의 가르침', '구원과 믿음의 관계', '하나님의 은혜와 구원'] 실제 벡터검색 질의: ['한번 받은 구원은 영원한가? 영생 구원 복음 멸망치 않고 생명 믿음은 바라는 것들의 실상 믿음으로 의심하지 말라 주를 신뢰 보혜사 성령 성령이 임하심 성령의 인도 성령의 열매', '한번 받은 구원은 영원한가?', '구원의 영원성', '구원은 잃을 수 있는가?', '영원한 생명에 대한 성경의 가르침', '구원과 믿음의 관계', '하나님의 은혜와 구원'",,LABELED,PASS,정상
GQ0002,gotquestions_topic,구원의 영원한 보증은 성경적인가?,200,topic_search,topic_search|explanation,Y,구원|믿음|은혜,구원|믿음|은혜,요한복음 3|로마서 10|에베소서 2,,2,CHECK,"1. 핵심 답변 구원의 영원한 보증은 성경적으로 뒷받침되는 개념입니다. 에베소서 1장 13절과 14절에서는 믿는 자들이 약속의 성령으로 인치심을 받았고, 이는 우리의 기업에 대한 보증이 된다고 말씀합니다. 또한, 디도서 1장 2절에서는 하나님이 영원한 때 전부터 약속하신 영생이 언급되며, 이는 변치 않는 하나님의 약속을 나타냅니다. 이러한 구절들은 구원이 단순한 순간의 경험이 아니라, 하나님과의 지속적인 관계 속에서 이루어지는 영원한 약속임을 강조합니다. 2. 관련 구절 설명 - 에베소서 1장 13-14절: 이 구절은 성령이 믿는 자들에게 주어져 그들의 구원을 보증하는 역할을 한다고 설명합니다. 성령의 인치는 신자들이 하나님의 자녀로서의 신분을 확증하며, 그들의 구원이 하나님에 의해 안전하게 지켜진다는 확신을 줍니다. - 디도서 1장 2절: 이 구절은 하나님이 영생을 약속하셨음을 강조합니다. 거짓이 없으신 하나님께서 약속하신 영생은 변함이 없으며, 이는 신자들에게 구원의 확신을 제공","[하이브리드 주제검색 결과] 인식 주제: ['구원', '믿음', '소망', '말씀', '성령'] 검색 키워드: ['구원', '영생', '멸망', '구속', '복음', '생명', '죄에서', '믿음', '믿는', '신뢰', '의심', '확신', '바라는 것', '보지 못하는 것', '소망', '기대', '기다림', '영광', '약속', '장래', '희망', '말씀', '율법', '계명', '성경', '가르침', '교훈', '성령', '보혜사', '영', '하나님의 영', '성령님'] LLM 검색 질의: ['구원의 영원한 보증은 성경적인가?', '구원의 확신', '영원한 생명', '하나님의 약속', '믿음의 보증', '구원과 은혜'] 실제 벡터검색 질의: ['구원의 영원한 보증은 성경적인가? 영생 구원 복음 멸망치 않고 생명 믿음은 바라는 것들의 실상 믿음으로 의심하지 말라 주를 신뢰 소망 하나님의 약속 장래 소망 기다림 영광 주의 말씀 율법 계명 말씀을 묵상 보혜사 성령 성령이 임하심",,LABELED,CHECK,부분 성공: 근거 보강 또는 라벨 점검
GQ0003,gotquestions_unmapped,죽은 뒤에는 무슨 일이 일어나는가?,200,topic_search,topic_search|explanation,Y,,,,,1,FAIL,"1. 핵심 답변 죽음 이후의 일에 대한 성경의 가르침은 명확하지 않지만, 전도서에서는 모든 사람의 죽음이 결국에는 동일하다고 말합니다. 지혜자와 우매자 모두 죽음을 맞이하며, 그들의 행위는 하나님의 손에 달려 있다고 전합니다. 이는 인생의 무상함과 죽음의 불가피성을 강조하며, 결국 모든 인생은 하나님의 주권 아래에 있다는 것을 보여줍니다. 따라서 죽음 이후의 삶에 대한 확실한 답변은 없지만, 인생의 의미와 목적을 하나님 안에서 찾는 것이 중요하다는 메시지를 전달합니다. 2. 관련 구절 설명 - 전도서 2장 16절: 이 구절은 지혜자와 우매자의 죽음이 동일하다는 점을 강조합니다. 이는 인생의 덧없음을 드러내며, 결국 모든 사람은 죽음을 피할 수 없음을 상기시킵니다. 이러한 인식은 우리가 삶을 어떻게 살아야 하는지를 깊이 고민하게 만듭니다. - 전도서 3장 13절: 이 구절은 사람의 삶에서 먹고 마시는 것과 수고함으로 즐거움을 누리는 것이 하나님의 선물임을 알려줍니다. 이는 우리가 일상","[하이브리드 주제검색 결과] 인식 주제: ['죽음', '소망', '구원', '직장'] 검색 키워드: ['죽음', '죽다', '장례', '부활', '생명', '영생', '소망', '기대', '기다림', '영광', '약속', '장래', '희망', '구원', '멸망', '구속', '복음', '죄에서', '직장', '일', '수고', '노동', '섬기', '충성', '게으름'] LLM 검색 질의: ['죽은 뒤에 무슨 일이 일어나는가?', '죽음 이후의 삶', '부활에 대한 성경의 가르침', '영원한 생명', '하나님과의 관계', '심판에 대한 성경의 가르침', '죽은 뒤에는 무슨 일이 일어나는가?'] 실제 벡터검색 질의: ['죽은 뒤에 무슨 일이 일어나는가? 부활과 생명 영생 죽음 소망 하나님의 약속 장래 소망 기다림 영광 구원 복음 멸망치 않고 생명 무슨 일을 하든지 주께 하듯 충성 수고', '죽은 뒤에 무슨 일이 일어나는가?', '죽음 이후의 삶', '부활에 대한 성경의 가르침', '영",,UNLABELED,REVIEW_UNLABELED,정답 라벨 없음: 수동검토/라벨링 필요
GQ0004,gotquestions_unmapped,자살에 관한 기독교의 관점은 무엇인가?,200,guardrail,topic_search|explanation,N,,,,,1,FAIL,"지금 질문은 매우 무겁고 중요한 문제입니다. 혼자 감당하려고 하지 않았으면 합니다. 성경공부 차원의 답변만으로 해결하려 하기보다, 지금 당장 믿을 수 있는 사람에게 연락하거나 가까운 가족, 친구, 목회자, 상담 전문가, 응급기관의 도움을 받는 것이 필요합니다. 당장 위험하다고 느껴진다면 즉시 주변 사람에게 알리거나 가까운 응급 도움을 요청하세요. 성경적으로는 하나님께서 상한 마음을 외면하지 않으신다는 방향의 말씀을 함께 살펴볼 수 있지만, 지금은 안전이 먼저입니다.",,,UNLABELED,REVIEW_UNLABELED,정답 라벨 없음: 수동검토/라벨링 필요
GQ0005,gotquestions_topic,삼위일체에 관하여 성경은 어떻게 가르치는가?,200,topic_search,topic_search|explanation,Y,삼위일체|하나님|예수|성령,삼위일체|하나님|예수|성령,마태복음 28|요한복음 1|고린도후서 13,요한복음 1,4,PASS,"1. 핵심 답변 삼위일체는 하나님이 아버지, 아들, 성령으로 존재하신다는 기독교의 핵심 교리입니다. 요한복음 14장 16절에서 예수님은 아버지께서 또 다른 보혜사를 주실 것이라고 말씀하시며, 성령이 우리와 함께 하신다고 강조합니다. 이는 성령이 하나님과 함께 하시며, 우리 안에 거하신다는 것을 나타냅니다. 이러한 가르침은 하나님이 한 분이시지만, 세 가지 인격으로 존재하신다는 삼위일체의 신비를 드러냅니다. 2. 관련 구절 설명 - 요한복음 14장 16절: 이 구절은 예수님이 아버지께 기도하여 성령을 보내실 것이라고 말씀하시며, 성령이 우리와 함께 하신다는 약속을 주십니다. 이는 성령이 하나님과 동일한 존재임을 나타내며, 그가 우리와 함께 하시는 것을 통해 하나님과의 관계가 지속됨을 보여줍니다. - 역대상 29장 11절: 이 구절에서는 하나님이 모든 권세와 영광을 가지신 분으로 묘사됩니다. 이는 하나님이 유일한 주권자이심을 강조하며, 삼위일체의 각 인격이 하나님의 본질을 공유하고 있음","[하이브리드 주제검색 결과] 인식 주제: ['삼위일체', '하나님', '예수', '성령', '말씀', '직장'] 검색 키워드: ['삼위일체', '성부', '성자', '성령', '한 하나님', '세 위격', '하나님', '여호와', '주', '아버지', '창조주', '전능', '예수', '그리스도', '메시아', '하나님의 아들', '말씀', '성육신', '보혜사', '영', '하나님의 영', '성령님', '율법', '계명', '성경', '가르침', '교훈', '직장', '일', '수고', '노동', '섬기', '충성', '게으름'] LLM 검색 질의: ['삼위일체에 대한 성경의 가르침', '하나님은 삼위일체이신가?', '성경에서 삼위일체를 어떻게 설명하나?', '삼위일체의 개념은 성경에 어떻게 나타나는가?', '예수님과 성령의 역할은 무엇인가?', '삼위일체의 교리는 성경에서 어떻게 지지되는가?', '삼위일체에 관하여 성경은 어떻게 가르치는가?'] 실제 벡터검색 질의: ['삼위일체에",,LABELED,PASS,정상
GQ0006,gotquestions_unmapped,세례(침례)의 중요성은 무엇인가?,200,explanation,topic_search|explanation,Y,,,,,1,FAIL,"1. 핵심 답변 세례(침례)는 신앙의 중요한 표현으로, 믿음을 고백하고 그리스도와의 연합을 나타냅니다. 세례는 단순한 의식이 아니라, 구원의 시작을 의미하며, 예수 그리스도의 죽음과 부활에 참여하는 상징적인 행위입니다. 또한, 세례를 통해 우리는 하나님의 가족으로 받아들여지며, 성령의 인도하심을 받는 삶을 시작하게 됩니다. 따라서 세례는 신앙의 여정에서 중요한 이정표가 됩니다. 2. 관련 구절 설명 - 로마서 1장 16-17절: 이 구절은 복음이 모든 믿는 자에게 구원을 주는 하나님의 능력임을 강조합니다. 세례는 이 복음을 받아들이고 믿음을 고백하는 중요한 단계로, 구원의 확신을 심어줍니다. - 요한1서 3장 23-24절: 이 구절은 예수 그리스도의 이름을 믿고 서로 사랑하는 것이 하나님의 계명임을 보여줍니다. 세례는 이러한 믿음의 고백을 통해 하나님과의 관계를 확립하고, 성령의 내주를 경험하는 시작점이 됩니다. 3. 본문 설명 로마서 1장에서는 복음이 모든 믿는 자에게 구원을 주는","[하이브리드 주제검색 결과] 인식 주제: ['구원', '믿음', '순종'] 검색 키워드: ['구원', '영생', '멸망', '구속', '복음', '생명', '죄에서', '믿음', '믿는', '신뢰', '의심', '확신', '바라는 것', '보지 못하는 것', '순종', '지키', '계명', '듣고', '행하라', '말씀대로', '복종'] LLM 검색 질의: ['세례의 중요성', '세례의 의미', '세례의 역할', '세례와 구원', '세례의 성경적 근거', '세례의 필요성', '세례(침례)의 중요성은 무엇인가?'] 실제 벡터검색 질의: ['세례의 중요성 영생 구원 복음 멸망치 않고 생명 믿음은 바라는 것들의 실상 믿음으로 의심하지 말라 주를 신뢰 말씀을 지키라 계명을 지키라 듣고 행하라', '세례의 중요성', '세례의 의미', '세례의 역할', '세례와 구원', '세례의 성경적 근거', '세례의 필요성', '세례(침례)의 중요성은 무엇인가?'] - 로마서 1장 | score=0.612",,UNLABELED,REVIEW_UNLABELED,정답 라벨 없음: 수동검토/라벨링 필요
GQ0007,gotquestions_unmapped,여성도 목사가 되거나 설교를 할 수 있는가?,200,explanation,topic_search|explanation,Y,,,,,1,FAIL,"1. 핵심 답변 여성이 목사가 되거나 설교를 하는 것에 대한 성경의 가르침은 복잡한 주제입니다. 고린도전서 14장 34절과 35절에서는 여성이 교회에서 잠잠해야 한다고 언급하고 있습니다. 그러나 성경의 다른 부분에서는 여성들이 교회에서 중요한 역할을 수행한 사례도 있습니다. 따라서 이 문제는 단순히 한 구절에 의존하기보다는 성경 전체의 맥락을 고려해야 합니다. 2. 관련 구절 설명 - 고린도전서 14장 34-35절: 이 구절은 여성이 교회에서 말하는 것을 금지하는 내용을 담고 있습니다. 이는 당시의 문화적 배경과 관련이 깊으며, 교회 내 질서와 복종의 중요성을 강조합니다. 그러나 이 구절만으로 여성이 교회에서의 역할을 완전히 제한한다고 해석하기는 어렵습니다. - 디모데전서 3장 13절: 이 구절은 집사의 직분을 잘 수행한 자들이 아름다운 지위를 얻는다고 말합니다. 이는 교회 내에서의 역할이 남성과 여성 모두에게 주어질 수 있음을 암시합니다. 여성이 교회에서 봉사하는 역할을 수행할 수","[하이브리드 주제검색 결과] 인식 주제: ['교회', '소명'] 검색 키워드: ['교회', '공동체', '성도', '직분', '목사', '장로', '집사', '소명', '부르심', '사명', '보내', '택하', '일꾼'] LLM 검색 질의: ['여성이 목사가 될 수 있는가?', '여성의 역할에 대한 성경적 원칙', '여성의 사역과 은사', '교회에서의 여성 리더십', '성경에서의 여성의 사역', '여성 목사에 대한 성경적 근거', '여성도 목사가 되거나 설교를 할 수 있는가?'] 실제 벡터검색 질의: ['여성이 목사가 될 수 있는가? 교회는 그리스도의 몸 성도를 세움 질서와 덕 서로 사랑 부르심 사명 보내심 택하심', '여성이 목사가 될 수 있는가?', '여성의 역할에 대한 성경적 원칙', '여성의 사역과 은사', '교회에서의 여성 리더십', '성경에서의 여성의 사역', '여성 목사에 대한 성경적 근거', '여성도 목사가 되거나 설교를 할 수 있는가?'] - 고린도전서 14장 | ",,UNLABELED,REVIEW_UNLABELED,정답 라벨 없음: 수동검토/라벨링 필요
GQ0008,gotquestions_topic,성경은 십일조에 관하여 무엇을 말하는가?,200,topic_search,topic_search|explanation,Y,재물|예배|순종,재물|순종,말라기 3|고린도후서 9|마태복음 6,마태복음 6,4,PASS,"1. 핵심 답변 성경에서 십일조는 하나님께 드리는 헌신의 표현으로, 우리의 재정적 자원을 하나님께 바치는 중요한 행위로 여겨집니다. 마태복음 6장에서는 재물에 대한 경계와 하나님을 섬기는 것의 중요성을 강조하며, 우리의 마음이 어디에 있는지를 묻습니다. 또한, 디모데전서 6장에서는 부한 자들에게 선한 일을 행하고 나눠주기를 권장하고 있습니다. 이는 십일조를 통해 하나님께서 주신 것에 대한 감사와 나눔의 자세를 나타내는 것입니다. 2. 관련 구절 설명 - 마태복음 6장 21절: ""네 보물 있는 그 곳에는 네 마음도 있느니라""는 구절은 우리가 소중히 여기는 것이 우리의 마음을 어디에 두는지를 보여줍니다. 십일조를 통해 하나님께 우리의 재정적 자원을 드리는 것은 우리의 마음이 하나님께 향하고 있음을 나타냅니다. - 디모데전서 6장 18절: ""선한 일을 행하고 선한 사업에 부하고 나눠주기를 좋아하며 동정하는 자가 되게 하라""는 구절은 부유한 자들에게 하나님께서 주신 재물을 어떻게 사용할지를","[하이브리드 주제검색 결과] 인식 주제: ['재물', '말씀', '직장'] 검색 키워드: ['재물', '돈', '부자', '가난', '소유', '탐심', '보물', '말씀', '율법', '계명', '성경', '가르침', '교훈', '직장', '일', '수고', '노동', '섬기', '충성', '게으름'] LLM 검색 질의: ['성경의 십일조에 대한 가르침', '십일조의 의미', '십일조에 대한 성경 구절', '십일조의 중요성', '재물과 십일조', '하나님께 드리는 것', '성경은 십일조에 관하여 무엇을 말하는가?'] 실제 벡터검색 질의: ['성경의 십일조에 대한 가르침 보물을 하늘에 쌓으라 탐심을 물리치라 재물과 하나님 주의 말씀 율법 계명 말씀을 묵상 무슨 일을 하든지 주께 하듯 충성 수고', '성경의 십일조에 대한 가르침', '십일조의 의미', '십일조에 대한 성경 구절', '십일조의 중요성', '재물과 십일조', '하나님께 드리는 것', '성경은 십일조에 관하여 무엇을 말하는",,LABELED,PASS,정상
GQ0009,gotquestions_topic,이혼과 재혼에 관하여 성경은 무엇이라고 말하는가?,200,topic_search,topic_search|explanation,Y,결혼|가족|관계,결혼|가족|관계,마태복음 19|고린도전서 7|에베소서 5,마태복음 19|고린도전서 7,4,PASS,"1. 핵심 답변 성경에서는 이혼과 재혼에 대한 여러 가지 원칙을 제시하고 있습니다. 예수님은 마태복음 19장에서 이혼에 대해 언급하시며, 하나님께서 결혼을 창조하신 목적은 남편과 아내가 하나가 되는 것이라고 말씀하십니다. 이로 인해 이혼은 하나님이 원하시는 결혼의 본래 목적을 훼손하는 행위로 여겨집니다. 그러나 성경에서는 특정한 상황에서 이혼이 허용될 수 있음을 보여주기도 합니다. 재혼에 대해서는, 이혼 후에 남은 한쪽이 다른 사람과 결혼하는 것이 성경적으로 어떻게 여겨지는지에 대한 논의가 필요합니다. 2. 관련 구절 설명 - 마태복음 19장 6절: ""그러므로 하나님이 짝지어 주신 것을 사람이 나누지 못할지니라."" 이 구절은 결혼의 신성함과 하나님이 주신 결혼의 목적을 강조합니다. 하나님이 결혼을 맺으셨기 때문에, 인간의 이혼은 하나님이 원하시는 질서를 어지럽히는 행위로 간주됩니다. - 고린도전서 7장 10-11절: ""결혼한 자들에게 내가 명하노니, 곧 내가 아니라 주께서 명하노니 ","[하이브리드 주제검색 결과] 인식 주제: ['결혼', '가족', '관계', '말씀'] 검색 키워드: ['결혼', '남편', '아내', '부부', '혼인', '배우자', '가족', '부모', '아버지', '어머니', '자녀', '아들', '딸', '가정', '관계', '형제', '이웃', '서로', '화목', '화해', '용납', '말씀', '율법', '계명', '성경', '가르침', '교훈'] LLM 검색 질의: ['이혼과 재혼에 대한 성경의 가르침', '이혼에 대한 성경 구절', '재혼에 대한 성경의 원칙', '결혼의 의미와 목적', '하나님이 원하시는 결혼관', '이혼 후의 삶에 대한 성경적 조언', '이혼과 재혼에 관하여 성경은 무엇이라고 말하는가?'] 실제 벡터검색 질의: ['이혼과 재혼에 대한 성경의 가르침 남편과 아내 사랑과 존중 혼인 부모를 공경 자녀 가정 아버지의 사랑 서로 사랑 서로 용서 화목 형제 사랑 이웃 사랑 주의 말씀 율법 계명 말씀을 묵상', '이혼과 재혼에",,LABELED,PASS,정상
GQ0010,gotquestions_topic,방언의 은사란 무엇인가?,200,explanation,topic_search|explanation,Y,방언|은사|성령,방언|은사|성령,사도행전 2|고린도전서 12|고린도전서 14|고린도전서 13,고린도전서 12|고린도전서 14,4,PASS,"1. 핵심 답변 방언의 은사는 성령의 역사로 주어진 특별한 능력으로, 주로 하나님과의 소통을 위한 기도의 형태로 나타납니다. 고린도전서 14장에서는 방언이 사람에게 말하는 것이 아니라 하나님께 비밀을 말하는 것이라고 설명하고 있습니다. 방언을 말하는 자는 자기의 덕을 세우지만, 교회의 덕을 세우기 위해서는 통역이 필요하다고 강조합니다. 따라서 방언의 은사는 개인적인 영적 체험이지만, 공동체의 유익을 위해서는 예언과 같은 다른 은사와 함께 사용되어야 합니다. 2. 관련 구절 설명 - 고린도전서 14장 2절: 이 구절은 방언이 하나님께 비밀을 말하는 것이며, 알아듣는 자가 없다고 설명합니다. 이는 방언이 개인의 영적 성장에 기여할 수 있지만, 공동체 내에서의 유익을 고려해야 함을 시사합니다. - 고린도전서 12장 7절: 각 사람에게 성령의 나타남이 주어지는 이유는 유익하게 하려는 것입니다. 이는 방언의 은사도 다른 은사들과 함께 공동체의 덕을 세우기 위한 목적이 있음을 강조합니다. 3.","[하이브리드 주제검색 결과] 인식 주제: ['은사', '방언'] 검색 키워드: ['은사', '영적 은사', '선물', '성령의 은사', '방언', '통역', '언어', '말하게 하심'] LLM 검색 질의: ['방언의 은사란 무엇인가?', '방언의 의미', '성령의 은사', '교회에서의 방언', '방언 통역', '오순절 방언'] 실제 벡터검색 질의: ['방언의 은사란 무엇인가? 성령의 은사 여러 은사 몸을 세우는 은사 공동체의 유익 방언의 은사 각 언어로 말함 방언 통역 교회에서 방언은 통역이 필요 질서 있게 하라', '방언의 은사란 무엇인가?', '방언의 의미', '성령의 은사', '교회에서의 방언', '방언 통역', '오순절 방언'] - 고린도전서 14장 | score=0.655 | keyword=0 | boost=0.4 1절 사랑을 따라 구하라 신령한 것을 사모하되 특별히 예언을 하려고 하라 2절 방언을 말하는 자는 사람에게 하지 아니하고 하나님께 하나니 이는 알아 듣는 자가 없",,LABELED,PASS,정상
